dataset,metric,spearman_with_ari,n_algorithms
sipu/r15,Negated DB Index,0.7908366533864541,24
sipu/r15,Negated WCSS Index,0.9194630872483219,27
sipu/r15,Silhouette,0.657718120805369,27
sipu/r15,Silhouette W,-0.2885906040268456,27
sipu/r15,WCNN Index,-0.8233606010107327,22
sipu/s1,CH Index,0.9200724993189003,12
sipu/s1,Dunnowa Index,0.5862068965517242,9
sipu/s1,Generalised Dunn Index,0.46619217081850534,12
sipu/s1,Negated Ball Hall Index,0.8576512455516014,12
sipu/s1,Negated DB Index,0.6770186335403726,10
sipu/s1,Negated WCSS Index,0.9217081850533808,12
sipu/s1,Silhouette,0.9288256227758007,12
sipu/s1,Silhouette W,0.9217081850533808,12
sipu/s1,WCNN Index,0.9827586206896554,9
sipu/s2,CH Index,0.9929824561403509,12
sipu/s2,Dunnowa Index,0.19327731092436976,9
sipu/s2,Generalised Dunn Index,0.3473684210526316,12
sipu/s2,Negated Ball Hall Index,0.9649122807017544,12
sipu/s2,Negated DB Index,0.8904109589041096,11
sipu/s2,Negated WCSS Index,0.9929824561403509,12
sipu/s2,Silhouette,0.9929824561403509,12
sipu/s2,Silhouette W,0.48070175438596496,12
sipu/s2,WCNN Index,0.5126050420168068,9
sipu/s3,CH Index,0.9720279720279721,12
sipu/s3,Dunnowa Index,-0.8214285714285715,7
sipu/s3,Generalised Dunn Index,-0.3706293706293707,12
sipu/s3,Negated Ball Hall Index,0.9160839160839163,12
sipu/s3,Negated DB Index,0.9454545454545454,11
sipu/s3,Negated WCSS Index,0.9720279720279721,12
sipu/s3,Silhouette,0.9720279720279721,12
sipu/s3,Silhouette W,0.30069930069930073,12
sipu/s3,WCNN Index,-0.25,7
sipu/s4,CH Index,0.9300699300699302,12
sipu/s4,Dunnowa Index,-0.6666666666666667,9
sipu/s4,Generalised Dunn Index,-0.39860139860139865,12
sipu/s4,Negated Ball Hall Index,0.6993006993006995,12
sipu/s4,Negated DB Index,0.8303030303030302,10
sipu/s4,Negated WCSS Index,0.9300699300699302,12
sipu/s4,Silhouette,0.9160839160839163,12
sipu/s4,Silhouette W,0.18181818181818185,12
